origin_region,distance_band,bt_mode,factor
Wales,50 to under 100 miles,WALKING,0.9999999914938094
Wales,Under 1 mile,RAIL,0.9999999996099826
Wales,Under 1 mile,ROAD,0.9999999999987496
Wales,Under 1 mile,WALKING,0.9999999999949429
West Midlands,1 to under 2 miles,RAIL,0.1611403336920328
West Midlands,1 to under 2 miles,ROAD,0.7588045672991532
West Midlands,1 to under 2 miles,WALKING,3.8356136953788504
West Midlands,10 to under 25 miles,RAIL,0.8317964267695259
West Midlands,10 to under 25 miles,ROAD,1.0080502860327767
West Midlands,10 to under 25 miles,WALKING,0.01
West Midlands,100 miles and over,RAIL,1.5149814743299717
West Midlands,100 miles and over,ROAD,0.9453401416472637
West Midlands,100 miles and over,SUBWAY,0.01
West Midlands,100 miles and over,WALKING,0.01
West Midlands,2 to under 5 miles,RAIL,0.29853634492977676
West Midlands,2 to under 5 miles,ROAD,0.9893672152725724
West Midlands,2 to under 5 miles,WALKING,1.7342782776892782
West Midlands,25 to under 50 miles,RAIL,1.3771986340925622
West Midlands,25 to under 50 miles,ROAD,0.9799392810259365
West Midlands,25 to under 50 miles,WALKING,0.01
West Midlands,5 to under 10 miles,RAIL,1.011397670922428
West Midlands,5 to under 10 miles,ROAD,1.002680497762511
West Midlands,5 to under 10 miles,WALKING,0.6246809074810392
West Midlands,50 to under 100 miles,RAIL,0.4368627207605146
West Midlands,50 to under 100 miles,ROAD,1.0460202436820982
West Midlands,50 to under 100 miles,SUBWAY,0.01
West Midlands,50 to under 100 miles,WALKING,0.01
West Midlands,Under 1 mile,RAIL,0.01
West Midlands,Under 1 mile,ROAD,0.2599045211353522
West Midlands,Under 1 mile,WALKING,3.9575443876487535
Yorkshire and The Humber,1 to under 2 miles,RAIL,0.5660127374324125
Yorkshire and The Humber,1 to under 2 miles,ROAD,0.6506703514429472
Yorkshire and The Humber,1 to under 2 miles,WALKING,4.893689603640844
Yorkshire and The Humber,10 to under 25 miles,RAIL,1.0594435104421949
Yorkshire and The Humber,10 to under 25 miles,ROAD,0.9980786417376161
Yorkshire and The Humber,10 to under 25 miles,WALKING,0.4449940513267625
Yorkshire and The Humber,100 miles and over,RAIL,1.3330962392849057
Yorkshire and The Humber,100 miles and over,ROAD,0.9112359079337289
Yorkshire and The Humber,100 miles and over,SUBWAY,0.01
Yorkshire and The Humber,100 miles and over,WALKING,0.01
Yorkshire and The Humber,2 to under 5 miles,RAIL,0.5783736051070283
Yorkshire and The Humber,2 to under 5 miles,ROAD,0.9324259395023937
Yorkshire and The Humber,2 to under 5 miles,WALKING,3.6816546591747494
Yorkshire and The Humber,25 to under 50 miles,RAIL,1.0691265285382394
Yorkshire and The Humber,25 to under 50 miles,ROAD,0.995073350029652
Yorkshire and The Humber,25 to under 50 miles,WALKING,0.01
Yorkshire and The Humber,5 to under 10 miles,RAIL,0.8338565512959675
Yorkshire and The Humber,5 to under 10 miles,ROAD,1.00337726029203
Yorkshire and The Humber,5 to under 10 miles,WALKING,0.6206855195875763
Yorkshire and The Humber,50 to under 100 miles,RAIL,1.864713216562868
Yorkshire and The Humber,50 to under 100 miles,ROAD,0.9408478530477161
Yorkshire and The Humber,50 to under 100 miles,WALKING,0.01
Yorkshire and The Humber,Under 1 mile,RAIL,0.01
Yorkshire and The Humber,Under 1 mile,ROAD,0.3003409480442074
Yorkshire and The Humber,Under 1 mile,WALKING,3.6768297666836096
